"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV33922","Bacteria","Firmicutes","Clostridia","Clostridiales",,,
"ASV33923","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",,,
"ASV33924","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV33925","Bacteria",,,,,,
"ASV33926","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group",
"ASV33927","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rubripirellula",
"ASV33928","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",,
"ASV33929","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Sporacetigenium",
"ASV33930","Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria",,,
"ASV33931","Bacteria","Patescibacteria","Parcubacteria",,,,
"ASV33932","Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria",,,
"ASV33933","Bacteria","Omnitrophicaeota",,,,,
"ASV33934","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_2",
"ASV33935","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",,
"ASV33936","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",
"ASV33937","Bacteria","Planctomycetes","Phycisphaerae","MSBL9","SG8-4",,
"ASV33938","Bacteria","Spirochaetes","Leptospirae","Leptospirales","Leptospiraceae","Leptospira",
"ASV33939","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",,
"ASV33940","Bacteria","Elusimicrobia","Elusimicrobia","Lineage_IV",,,
"ASV33941","Eukaryota",,,,,,
"ASV33942","Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria",,,
"ASV33943","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Giovannonibacteria",,,
"ASV33944","Bacteria","Actinobacteria","Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces",
"ASV33945","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",,
"ASV33946","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria",,,
"ASV33947","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",,
"ASV33948","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","GWF2-44-16",,
"ASV33949","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",,,
"ASV33950","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"ASV33951","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia",
"ASV33952","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group",,
"ASV33953","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"ASV33954","Bacteria","Proteobacteria","Deltaproteobacteria",,,,
"ASV33955","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",
