ASV,SeqID
ASV10450,GFU6RAN02JOEF2_cs_nbp_rc
ASV10669,GFTD7SK01D705L_cs_nbp_rc
ASV11546,GCKVOD102J1J6J_cs_nbp_rc
ASV11595,GCE7VNM02JHUO8_cs_nbp_rc
ASV11628,GESGWO201CGE13_cs_nbp_rc
ASV11692,GJKK7LC01AZ2G9_cs_nbp_rc
ASV11817,GEZJUZR02GFRV9_cs_nbp_rc
ASV11837,F47543201CYPFW_cs_nbp_rc
ASV12398,GFNMF7A02GKAYI_cs_nbp_rc
ASV12464,F5K51YR02EKPUD_cs_nbp_rc
ASV12491,F7JWPPP02GIE7T_cs_nbp_rc
ASV12501,GEQLSJJ01AHB6L_cs_nbp_rc
ASV12961,GFU6RAN02JADHO_cs_nbp_rc
ASV13074,GB527Y402GT9DF_cs_nbp_rc
ASV13156,GFU6RAN02FX5CN_cs_nbp_rc
ASV13390,GER4X9E02IATE8_cs_nbp_rc
ASV13452,F47543201CMFK9_cs_nbp_rc
ASV13471,GEUHUCK01BGV1B_cs_nbp_rc
ASV13508,GGDUL4X02GXZCS_cs_nbp_rc
ASV13880,F47543201AQNBH_cs_nbp_rc
ASV14002,F5K51YR02DSZDU_cs_nbp_rc
ASV14146,GKS2TLV02JBOCT_cs_nbp_rc
ASV14425,GDGDDZP02HNYPX_cs_nbp_rc
ASV14511,F47543202IJW87_cs_nbp_rc
ASV14513,F47543201BKFG5_cs_nbp_rc
ASV14515,GCKVOD102FQZJI_cs_nbp_rc
ASV14862,GESGHXH02G3IO8_cs_nbp_rc
ASV15072,GFU6RAN02HQETK_cs_nbp_rc
ASV15429,F5K51YR02ETOKD_cs_nbp_rc
ASV15444,F47543201BHL55_cs_nbp_rc
ASV15467,GCE7VNM02JOLND_cs_nbp_rc
ASV15563,GGBO4VW02JWB5B_cs_nbp_rc
ASV16068,GESGHXH01DFGEH_cs_nbp_rc
ASV16130,GEZPXXX02F4HKY_cs_nbp_rc
ASV16198,F47543201A10SV_cs_nbp_rc
ASV16413,GFU6RAN02IO6I7_cs_nbp_rc
ASV16459,F48MJBB02F87AG_cs_nbp_rc
ASV16854,F47543201C390V_cs_nbp_rc
ASV16888,GFWXJBT01BJLC2_cs_nbp_rc
ASV17206,F48MJBB02HTQW8_cs_nbp_rc
ASV17721,F5K51YR02DBRRC_cs_nbp_rc
ASV17779,F47543202HN634_cs_nbp_rc
ASV17913,GD4KK7401DWNR4_cs_nbp_rc
ASV18092,GCKVOD102G35O8_cs_nbp_rc
ASV18707,F48MJBB02FHP3Z_cs_nbp_rc
ASV18734,GESGWO201DBJKZ_cs_nbp_rc
ASV18840,GER5HLA02G7GJD_cs_nbp_rc
ASV18842,F47543201DJMXJ_cs_nbp_rc
ASV19100,GESGHXH01AJ5IX_cs_nbp_rc
ASV19218,GJKK7LC01C7O43_cs_nbp_rc
ASV19526,F47543201EJYXT_cs_nbp_rc
ASV19997,GEKVCDK02F1CPA_cs_nbp_rc
ASV20129,GFAVKPA02EE8EW_cs_nbp_rc
ASV20218,GB527Y402JJC8K_cs_nbp_rc
ASV20221,GB527Y402JVATF_cs_nbp_rc
ASV20391,F5MMO9001B3VYZ_cs_nbp_rc
ASV20642,F48MJBB02FJMR8_cs_nbp_rc
ASV20747,GEQLSJJ02FQFBP_cs_nbp_rc
ASV21006,GESGHXH02H8AJV_cs_nbp_rc
ASV21287,GER5HLA02FW9MX_cs_nbp_rc
ASV21297,F5K51YR02C6EU4_cs_nbp_rc
ASV21302,GEUHUCK01CFTLW_cs_nbp_rc
ASV21376,GEUHUCK01BY0CH_cs_nbp_rc
ASV21405,GEZJUZR02I425K_cs_nbp_rc
ASV21520,GER5HLA01DTB3F_cs_nbp_rc
ASV21575,GCE7VNM02J4HOR_cs_nbp_rc
ASV21599,GESGHXH02F5W7O_cs_nbp_rc
ASV21644,GDIBMGA02IN49H_cs_nbp_rc
ASV21754,GFJWUBL03F2P73_cs_nbp_rc
